album_name,album_artist,url_links,genre,tlmc_path,internal album_id
"""Activity"" Case:01 -Graveyard Memory-",GET IN THE RING,http://gchm-music.com/cont/activity/,,[GET IN THE RING]/2012.12.30 [GCHM-0012] ''Activity'' Case：01 -Graveyard Memory- [C83],1
"""Activity"" Case:02 -Nightmare Counselor-",GET IN THE RING,http://gchm-music.com/cont/activity2/,,[GET IN THE RING]/2013.05.26 [GCHM-0013] ''Activity'' Case：02 -Nightmare Counselor- [例大祭10],2
"""Activity"" Case:03 -Historical Vacation-",GET IN THE RING,http://gchm-music.com/cont/activity3/,,[GET IN THE RING]/2013.12.30 [GCHM-0015] ''Activity'' Case：03 -Historical Vacation- [C85],3
"""Activity"" Case:04 -Cosmic Horoscope-",GET IN THE RING,http://activity-case-04.tumblr.com/,,[GET IN THE RING]/2014.12.29 [GCHM-0017] ''Activity'' Case：04 -Cosmic Horoscope-  [C87],4
"""Activity"" Case:05 -Forgotten Paradise-",GET IN THE RING,http://activity-case-05.tumblr.com,,[GET IN THE RING]/2015.12.30 [GCHM-0021] ''Activity'' Case：05 -Forgotten Paradise- [C89],5
"""Activity"" Case:06 -Shining Future-",GET IN THE RING,http://activity-case-06.tumblr.com/,Jpop，Rock,[GET IN THE RING]/2016.05.08 [GCHM-0024] ''Activity'' Case：06 -Shining Future- [例大祭13],6
"""Activity"" Case：07 -Dominated Realism-",GET IN THE RING,https://activity-case-07.tumblr.com/,Jpop，Rock,[GET IN THE RING]/2017.05.07 [GCHM-0030] ''Activity'' Case：07 -Dominated Realism- [例大祭14],7
"""Activity"" Case:08 -Midnight Syndrome-",GET IN THE RING,https://activity-case-08.tumblr.com/,Jpop,[GET IN THE RING]/2018.08.10 [GCHM-0034] ''Activity'' Case：08 -Midnight Syndrome- [C94],8
"""Activity"" Case：Extra -Storyteller's Night- Special Disc",GET IN THE RING,https://twitter.com/GET_IN_OFFICIAL/status/1051111905891254272,,[GET IN THE RING]/2018.10.14 [GCHM-0035] ''Activity'' Case：Extra -Storyteller's Night- Special Disc [秋例大祭5],11
"""Everflowering"" Masterpieces of Hatsunetsumiko's 2011 - 2013",発熱巫女～ず,http://hatsunetsumikos.net/eflg/,,[発熱巫女～ず]/2014.05.11 [SPHM-003] Everflowering Masterpieces of Hatsunetsumiko's 2011 - 2013 [例大祭11],12
"""Everything but the Girl"" Hatsunetsumiko's Dance Vocal Collection Vol.2",発熱巫女～ず,http://hatsunetsumikos.net/ebtg/,Dance，Jpop,[発熱巫女～ず]/2016.08.13 [SPHM-005] ''Everything but the Girl'' Hatsunetsumiko's Dance Vocal Collection Vol.2 [C90],13
"""Flower of Life"" The best selection 2008-2011",発熱巫女～ず,http://hatsunetsumikos.net/fol/,,[発熱巫女～ず]/2012.05.27 [SPHM-0001~2] ”Flower of Life” The best selection 2008-2011 [例大祭9],14
"""HIStory Begins"" Hatsunetsumiko's Vocal Collection featuring Ark Brown 2013-2015",発熱巫女～ず,http://hatsunetsumikos.net/hsbg/,,[発熱巫女～ず]/2021.12.31 [VCHM-001] ''HIStory Begins'' Hatsunetsumiko's Vocal Collection featuring Ark Brown 2013-2015 [C99],15
